Genes,Importances
NUP50-DT,0.002669243
COL13A1,0.002336213
PDRG1,0.002165435
DCT,0.002030097
PLPP2,0.001923735
SEPTIN7P9,0.001893353
OR4D6,0.001755077
LARP4P,0.001697512
USH1C,0.001584833
NDUFA5P8,0.001520812
RBMY2EP,0.001492691
TLE3,0.00147853
RPSAP35,0.001455512
TBC1D3G,0.00142687
ANKRD18DP,0.001410877
GPATCH3,0.001406057
HIVEP1,0.001385217
WTIP,0.001368099
ATP5MGL,0.001357776
IL13RA1,0.001350601
HSD3BP4,0.001349533
ARMC5,0.001335728
TACC3,0.001329798
ATP5PBP6,0.001294419
S100A11,0.001291636
SERPINB4,0.001290473
MIR3195,0.001289893
SLC9C2,0.001285877
LINC02590,0.001272497
ZNF280B,0.00127246
MTATP6P18,0.001263418
POF1B,0.001253465
OR7E23P,0.00124768
PUDP,0.001241832
ERGIC2,0.001241724
RNU6ATAC12P,0.001240523
MIR3161,0.001239377
MSH5-SAPCD1,0.00122986
ELOCP28,0.001229125
TSPAN13,0.001227514
MIR4747,0.001224989
NYX,0.001218495
TEX51,0.001215892
ZNF208,0.001212449
FGL2,0.001202526
SLC47A1,0.001202297
B4GALT1-AS1,0.001197608
ADGRD1,0.001197442
MIR5089,0.001192911
MUC5B-AS1,0.001188618
IFNAR2,0.00118798
SNHG29,0.001187056
C17orf50,0.001186505
DBP,0.00118141
DCXR,0.0011749
ZMYM6,0.001171296
DNAH1,0.001170204
LINC02157,0.001168284
CAPN2,0.001164166
GLTP,0.00115442
RN7SL32P,0.001150974
MED12L,0.001148327
MIR6090,0.001147704
ALKAL1,0.001145425
MND1,0.001145194
TOMM22P2,0.001143288
MGST2,0.001142724
FTL,0.001139086
MCM10,0.001137676
IL17REL,0.001134729
DUXAP7,0.001132834
CUL4B,0.001124755
UBE2W,0.00111568
LINC01701,0.001110798
DPP4,0.001109562
EMC6,0.001098093
GTF3AP5,0.001094516
ENG,0.001087445
LINC00645,0.001086874
PAGE2,0.001082894
LAMB3,0.001081952
ZNF681,0.001081543
TRAJ26,0.001076112
ZNF501,0.001075598
ARHGEF7-AS1,0.001072006
CXCR1,0.001071713
POLQ,0.001069882
NOTCH4,0.001069613
SF3A3,0.001069139
LINC02634,0.001068028
TRAJ11,0.001067807
TSG101,0.001061428
ARRDC3,0.001060881
CCR5,0.001055922
CCL20,0.00105255
SYF2,0.001048709
SIRT1,0.001047946
KRTAP11-1,0.001045592
SSBP4,0.001045571
TTTY1B,0.001044647
ISG20,0.001044302
DPEP2,0.001040969
OAF,0.001035623
LINC01534,0.001028476
MIR4674,0.001027987
EPSTI1,0.001023981
C6orf15,0.001022857
USF2,0.001022032
ZNF506,0.001021348
VAX2,0.001020484
TTC34,0.001018208
WRNIP1,0.001017135
PUS3,0.001015662
LINC00857,0.001015033
ANLN,0.001013157
CYHR1,0.001012733
USP17L28,0.001012
MCHR2-AS1,0.001010641
LRRD1,0.001009708
CDS2,0.001009392
RPS29P13,0.001009389
CYP4F29P,0.001004065
RN7SL122P,0.00100355
DEFA6,0.001003216
EMSLR,0.001002307
OR52B2,0.001001051
LLCFC1,0.001000476
LINC02694,0.000999357
ZNF43,0.000999263
SLC29A1,0.000997933
