Genes,Importances
HSPD1,0.005078525
PDLIM2,0.004555685
SPEM2,0.003630788
VPS45,0.003061846
HYPK,0.002843012
RNF146,0.002696884
MTCO1P24,0.002530198
PRSS23,0.002464377
KRTAP5-2,0.002292085
ROPN1L,0.002202329
LINC00910,0.002197982
WDR89,0.002135314
OLFML1,0.002119143
ASIC4,0.001993233
PPP1R11,0.001945428
TMIGD3,0.001885131
FGFRL1,0.001783864
PPP4R1,0.001594742
TUG1,0.001583287
SGCA,0.001576669
MGMT,0.001557636
CLCA4-AS1,0.00155595
ACTG1P4,0.001531846
HNRNPA3,0.001463201
LAMC2,0.001442604
IGKV7-3,0.00142166
CYP1B1,0.001403479
TMEM243,0.001397598
CYP8B1,0.001397444
PARP15,0.001391553
PEAK1,0.001382958
CRIP1P2,0.00137867
PDE4C,0.001360533
LINC00351,0.001359875
RNU6-464P,0.001337063
DDX60,0.001317271
SACS,0.001316708
RBM15,0.001309732
ORC2,0.001305461
PROS2P,0.001297886
RNF123,0.001283286
PSME1,0.001276574
CHST6,0.001256525
ATP6V0D2,0.001246662
AMT,0.001245388
TEDC2,0.001242782
OR3A2,0.00123731
TMEM79,0.001237165
METTL15,0.001230291
DUXAP7,0.001222612
RAF1,0.001221845
AQP4,0.001217366
CFH,0.001212613
RPSAP6,0.001206717
FAM160A1,0.001203688
CUL4B,0.001201954
VIM,0.001193821
RPL24,0.001189222
CASR,0.001188566
ERC1,0.001188366
TMTC1,0.00118572
RPRD1B,0.001171439
CPDP1,0.001168141
OGFOD1P1,0.001155182
C2orf80,0.001152827
SLC16A9,0.001152208
RAPGEF1,0.001149416
AMDHD2,0.001147343
ACOX3,0.001145284
SNIP1,0.001144229
MIR4273,0.00114374
HNRNPCP10,0.001142917
LINC02582,0.001140675
CLEC4D,0.001140379
SYDE2,0.001139304
FRMD4A,0.001134033
FGF4,0.001132339
LINC00330,0.001128884
AGTR1,0.001128213
PLA2G2A,0.001128064
DTNB,0.001125733
RFC3,0.001120909
CES3,0.001119943
NR1I2,0.001119861
JUN,0.00111863
TMEM121,0.001117739
CRIP3,0.001114696
PRRC1,0.001112936
HBZ,0.001108548
NOS2,0.001108204
RN7SL88P,0.001108183
ANKUB1,0.001099475
OSTF1,0.001096909
C20orf144,0.001093429
EPS8,0.00109031
TMEM220-AS1,0.001082796
PTGDS,0.001080753
PTS,0.00107954
FAM81B,0.00107275
PPP1R14D,0.001070857
SPAG9,0.001070486
CRYBG2,0.001068929
H4C8,0.001068415
CHRNE,0.001067933
MRPL19,0.001067412
RPL23AP57,0.001066497
LHX3,0.001064725
FGF7,0.001061905
CUZD1,0.001061812
LINC01916,0.001058471
ZNF273,0.00105586
PPP2R2DP1,0.001055376
REV1,0.001053595
FAM25A,0.001052886
FILIP1L,0.001050225
LINC00115,0.00104642
PPM1J,0.001046356
DLEC1,0.001045734
SPNS2,0.001045403
RANGAP1,0.001039108
RDX,0.001038155
BAHD1,0.001037804
HDAC6,0.001036876
RPL12P22,0.001033329
TENT4B,0.001031832
MYO1A,0.001031712
SI,0.001031532
FASTKD2,0.001031346
TLL1,0.001031152
BEND5,0.001029124
APOBEC3B,0.001027713
ITGA3,0.00102767
INTS4,0.001024674
ADCY1,0.001019631
CCDC174,0.001019291
FITM1,0.001018891
SPRR1A,0.001017019
SLC15A5,0.00101654
RBM4B,0.001012794
WNT1,0.001008215
MAGI1,0.001008205
PSMB9,0.001006536
KNL1,0.001006352
IPCEF1,0.00100289
AKAP4,0.001002723
ATRIP,0.001000954
OR52B3P,0.001000068
MTMR6,0.000997684
LINC00928,0.000993987
THSD7B,0.000993564
GINS4,0.000993483
GATD1,0.000991987
DTWD1,0.000991545
DSN1,0.000989926
SIN3B,0.000989059
REPS1,0.000985559
CCDC178,0.000982561
OR9G3P,0.000982221
RING1,0.000981487
CDC5L,0.000979307
AGPAT1,0.000979124
ABHD16B,0.00097809
GALR3,0.000977012
ZNF232,0.00097613
TEX38,0.000975927
MRPS18C,0.000975684
ZBTB7A,0.000974506
AQP7P5,0.000972848
PDZRN4,0.000972457
CXorf49B,0.000972177
MYO10,0.00097119
APOA2,0.000970009
IGDCC4,0.000969125
CLPB,0.000968891
LINS1,0.000967161
PPP6R3,0.000967077
IL1RAP,0.000966211
CPLX1,0.000965159
TRAPPC11,0.000964669
TMEM38A,0.000963282
FOSL2,0.000961358
RALY,0.000957198
STOM,0.000956754
DNAJB6,0.000956233
